Cau.Cau1AG000001	sp|Q9FN02|PPP7_ARATH	69.3	401	118	3	47	446	8	404	2.07e-209	586
Cau.Cau1AG000002	sp|Q940Y3|ARID3_ARATH	76.1	310	70	3	219	527	480	786	3.49e-157	470
Cau.Cau1AG000003	sp|A9JQS7|SBTS_LOTJA	44.0	771	393	8	21	779	13	756	5.47e-212	619
Cau.Cau1AG000005	sp|Q9FHN8|KN14E_ARATH	76.3	1224	288	2	34	1255	36	1259	0.0	1786
Cau.Cau1AG000007	sp|Q39243|TRXB1_ARATH	75.2	375	88	2	9	379	2	375	4.82e-200	558
Cau.Cau1AG000008	sp|Q5ZMA3|RBM24_CHICK	48.8	129	56	3	10	133	7	130	3.40e-28	110
Cau.Cau1AG000010	sp|Q14149|MORC3_HUMAN	30.9	479	284	17	241	701	16	465	9.88e-52	197
Cau.Cau1AG000011	sp|O22812|AHL10_ARATH	50.5	329	141	10	6	326	30	344	4.87e-78	245
Cau.Cau1AG000012	sp|Q5R4N9|RRN3_PONAB	24.5	412	210	17	160	487	186	580	1.78e-10	67.4
Cau.Cau1AG000013	sp|Q9SVW8|PIRL4_ARATH	71.4	570	136	5	1	569	6	549	4.49e-93	298
Cau.Cau1AG000014	sp|Q9M060|IF62_ARATH	89.8	245	25	0	1	245	1	245	2.88e-162	451
Cau.Cau1AG000015	sp|Q7DNC3|MPCP1_ARATH	68.1	279	89	0	37	315	18	296	2.24e-140	402
Cau.Cau1AG000016	sp|Q9R0Z7|AAGAB_RAT	23.2	194	93	5	43	233	38	178	3.80e-07	55.1
Cau.Cau1AG000017	sp|Q9FKY5|MLO10_ARATH	66.2	556	162	7	28	578	33	567	7.81e-255	713
Cau.Cau1AG000018	sp|Q9FKY4|PILS7_ARATH	63.1	423	128	3	1	423	1	395	1.85e-177	503
Cau.Cau1AG000019	sp|Q9SHL7|RP44A_ARATH	80.4	934	171	3	1	923	1	933	0.0	1493
Cau.Cau1AG000020	sp|Q9C5S2|IRE1A_ARATH	38.4	659	301	21	56	694	40	613	2.83e-108	350
Cau.Cau1AG000021	sp|Q9C5S2|IRE1A_ARATH	77.6	228	51	0	5	232	610	837	2.41e-124	375
Cau.Cau1AG000022	sp|Q84W41|GLR36_ARATH	62.9	894	317	5	8	897	5	887	0.0	1145
Cau.Cau1AG000023	sp|Q84W41|GLR36_ARATH	57.4	885	345	5	26	890	23	895	0.0	1016
Cau.Cau1AG000024	sp|Q9SD02|P2C47_ARATH	75.7	354	80	2	45	398	14	361	2.79e-188	528
Cau.Cau1AG000025	sp|Q9UTK2|RM19_SCHPO	51.1	135	66	0	17	151	9	143	2.65e-42	140
Cau.Cau1AG000026	sp|Q84VG6|PP160_ARATH	68.5	496	150	2	4	493	6	501	7.08e-136	413
Cau.Cau1AG000027	sp|Q9SVG0|AVT3C_ARATH	67.6	435	131	5	1	425	1	435	9.27e-203	569
Cau.Cau1AG000028	sp|Q96D71|REPS1_HUMAN	37.1	116	69	2	406	521	258	369	2.48e-11	72.0
Cau.Cau1AG000029	sp|Q45FA5|SRPK_PHYPO	42.9	415	206	7	10	416	29	420	3.45e-110	334
Cau.Cau1AG000031	sp|F4JN26|MLH3_ARATH	37.2	1464	563	40	1	1422	1	1150	6.86e-239	724
Cau.Cau1AG000033	sp|O81788|WOX13_ARATH	61.1	265	72	11	36	296	31	268	1.02e-86	263
Cau.Cau1AG000036	sp|Q9BSD7|NTPCR_HUMAN	44.9	178	89	4	11	182	7	181	1.27e-39	136
Cau.Cau1AG000037	sp|Q42344|HMGB4_ARATH	64.9	131	40	2	1	131	1	125	1.96e-48	155
Cau.Cau1AG000038	sp|Q8LLD4|REP_ARATH	58.4	560	199	10	12	538	4	562	5.45e-214	607
Cau.Cau1AG000039	sp|O81791|RKD5_ARATH	45.7	341	153	7	8	330	42	368	9.40e-79	248
Cau.Cau1AG000040	sp|Q9SII6|PIX13_ARATH	66.7	102	34	0	13	114	271	372	7.49e-39	139
Cau.Cau1AG000041	sp|Q8S2T1|DDPS6_ARATH	53.3	353	92	4	16	368	16	295	7.67e-114	336
Cau.Cau1AG000042	sp|K7WCI9|CPT3_SOLLC	50.0	90	31	2	22	97	174	263	8.62e-19	81.6
Cau.Cau1AG000043	sp|Q7X911|SAC6_ARATH	76.3	590	139	1	7	595	3	592	0.0	951
Cau.Cau1AG000045	sp|Q9SII8|DSK2B_ARATH	52.4	571	225	11	2	547	3	551	2.20e-153	453
Cau.Cau1AG000046	sp|P44439|PCNB_HAEIN	35.2	244	140	4	75	308	39	274	8.31e-35	141
Cau.Cau1AG000047	sp|P46277|CCNB1_MEDSV	66.2	435	123	6	4	423	3	428	3.42e-188	532
Cau.Cau1AG000048	sp|Q9SHP0|SERB2_ARATH	78.4	402	77	1	29	430	31	422	8.20e-232	642
Cau.Cau1AG000049	sp|Q8S2T0|GRIP_ARATH	55.8	754	322	3	52	794	35	788	2.44e-172	519
Cau.Cau1AG000050	sp|Q8LFC0|IDH1_ARATH	84.4	371	50	2	1	367	1	367	7.13e-224	617
Cau.Cau1AG000051	sp|Q9CAZ7|SSL5_ARATH	54.1	370	149	6	24	386	12	367	1.00e-135	395
Cau.Cau1AG000052	sp|M4IRL4|CCL2_HUMLU	68.5	558	165	6	41	591	20	573	2.98e-280	778
Cau.Cau1AG000053	sp|Q9SVE7|DTX45_ARATH	58.4	512	199	3	41	550	53	552	1.08e-188	544
Cau.Cau1AG000054	sp|F4HUK6|AAE1_ARATH	53.5	542	243	4	15	555	11	544	4.05e-203	580
Cau.Cau1AG000055	sp|O22633|NOI4_ARATH	42.6	68	39	0	7	74	5	72	1.67e-12	59.7
Cau.Cau1AG000056	sp|P51613|CHIB_VITVI	71.1	318	74	1	12	329	8	307	3.88e-173	485
Cau.Cau1AG000057	sp|Q84J71|PP161_ARATH	49.7	199	99	1	64	262	63	260	1.01e-54	192
Cau.Cau1AG000061	sp|Q54I39|IST1L_DICDI	36.3	179	112	2	13	191	1	177	5.82e-28	117
Cau.Cau1AG000063	sp|Q7XA86|ZDH11_ARATH	67.1	331	103	3	18	348	16	340	9.73e-150	428
Cau.Cau1AG000064	sp|O23470|GDL64_ARATH	34.0	368	215	9	8	356	8	366	4.99e-59	197
Cau.Cau1AG000068	sp|Q8GXB1|U548_ARATH	67.8	205	66	0	1	205	1	205	1.42e-108	312
Cau.Cau1AG000069	sp|Q9FT72|RQL3_ARATH	78.4	319	67	1	1	319	1	317	9.57e-175	504
Cau.Cau1AG000070	sp|Q9FT72|RQL3_ARATH	52.4	391	162	8	1	384	318	691	1.11e-116	358
Cau.Cau1AG000072	sp|Q8L540|LTO1_ARATH	65.6	273	94	0	75	347	92	364	4.08e-127	372
Cau.Cau1AG000073	sp|Q38853|STR15_ARATH	71.5	123	33	1	63	183	59	181	2.09e-57	181
