gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	transcript_id	Arabidopsis_Genes
Cau.Cau7BG000745	0	2.83789230297044	0.872	0.254	0	0	/	AT1G26355
Cau.Cau7AG000743	0	2.75947630858795	0.873	0.277	0	0	/	AT1G26355
Cau.Cau9BG001776	0	2.73293322874524	0.899	0.39	0	0	transcript:AT4G15910.1	/
Cau.Cau9BG001764	0	2.55839491673895	0.969	0.714	0	0	/	/
Cau.Cau9AG001697	0	2.45900634365598	0.881	0.393	0	0	/	/
Cau.Cau7BG000382	0	2.31023858063359	0.598	0.134	0	0	/	/
Cau.Cau9AG001684	0	2.23526861671729	0.963	0.727	0	0	transcript:AT3G16640.1	AT3G16640
Cau.Cau2BG001977	0	2.23384833998141	0.875	0.394	0	0	/	/
Cau.Cau2AG001994	0	2.23123200014599	0.779	0.277	0	0	/	/
Cau.Cau6BG001706	0	2.22935546557634	0.653	0.226	0	0	transcript:AT3G01390.2	AT3G01390;AT4G23710
Cau.Cau8AG001811	0	2.20627841539189	0.764	0.275	0	0	/	AT3G09390;AT5G02380
Cau.Cau6AG001274	0	2.19415204828349	0.5	0.148	0	0	transcript:AT4G33070.1	AT4G33070;AT5G01320;AT5G01330
Cau.Cau8BG001977	0	2.17466042252031	0.6	0.186	0	0	/	AT2G29960;AT5G58710
Cau.Cau1AG000723	0	2.07798484073429	0.765	0.366	0	0	transcript:AT5G65260.1	AT5G10350;AT5G65260
Cau.Cau8AG001965	0	2.07361182014686	0.507	0.146	0	0	transcript:AT2G29960.3	AT2G29960;AT5G58710
Cau.Cau2BG002477	0	2.04798940067183	0.494	0.129	0	0	/	/
Cau.Cau2BG002656	0	2.03483006094643	0.62	0.205	0	0	/	AT1G11840
Cau.Cau4AG000572	0	1.97770038026432	0.66	0.273	0	0	/	AT4G22380;AT5G20160
Cau.Cau9BG001621	0	1.97061850785266	0.413	0.106	0	0	/	AT3G23570;AT3G23600
Cau.Cau6AG001702	0	1.96384644464309	0.608	0.248	0	0	/	AT3G01390;AT4G23710
Cau.Cau1BG000735	0	1.95574169316533	0.702	0.34	0	0	/	/
Cau.Cau4BG000570	0	1.95361424231721	0.615	0.252	0	0	transcript:AT5G20160.1	AT4G22380;AT5G20160
Cau.Cau2AG002480	0	1.92135711263116	0.392	0.092	0	0	/	/
Cau.Cau1AG000215	0	1.89972651988787	0.668	0.28	0	0	/	AT3G51030
Cau.Cau9AG000955	0	1.86846351998455	0.457	0.156	0	0	/	/
Cau.Cau8AG000455	0	1.86149218750453	0.306	0.059	0	0	/	AT1G49670
Cau.Cau6AG000630	0	1.85946608394234	0.285	0.059	0	0	/	/
Cau.Cau4BG001550	0	1.83130166034457	0.799	0.454	0	0	/	/
Cau.Cau8BG001824	0	1.82982112712013	0.621	0.247	0	0	/	AT3G09390;AT5G02380
Cau.Cau9AG001318	0	1.80832836727849	0.472	0.166	0	0	transcript:AT5G43650.1	AT5G43650
Cau.Cau3BG000644	0	1.78916506274113	0.765	0.4	0	0	transcript:AT4G09800.1	AT1G22780;AT1G34030;AT4G09800
Cau.Cau9BG001943	0	1.77077548969289	0.389	0.105	0	0	/	/
Cau.Cau5AG003809	0	1.76203736731416	0.645	0.32	0	0	transcript:AT4G09320.1	AT4G09320
Cau.Cau2BG001674	0	1.7595538864426	0.409	0.159	0	0	transcript:AT1G30110.1	AT1G30110
Cau.Cau9BG001396	0	1.73461197359974	0.484	0.173	0	0	/	AT5G43650
Cau.Cau2BG001145	0	1.73441599067438	0.265	0.064	0	0	/	/
Cau.Cau5AG002753	0	1.72731194161364	0.543	0.248	0	0	/	/
Cau.Cau9AG001543	0	1.71400224568065	0.276	0.067	0	0	transcript:AT3G23600.1	AT3G23570;AT3G23600
Cau.Cau8BG000530	0	1.71364542341878	0.268	0.072	0	0	/	/
Cau.Cau4AG001523	0	1.70968500291544	0.721	0.366	0	0	transcript:AT5G59240.1	AT5G20290;AT5G59240
Cau.Cau1BG001156	0	1.70182490188054	0.752	0.443	0	0	transcript:AT3G16080.1	AT3G16080
Cau.Cau9BG000187	0	1.68853526616068	0.503	0.228	0	0	transcript:AT4G25740.1	AT4G25740;AT5G41520;AT5G52650
Cau.Cau9AG000581	0	1.66396340038984	0.477	0.215	0	0	/	AT2G42310;AT3G57785
Cau.Cau9BG001024	0	1.66325532643952	0.389	0.146	0	0	/	/
Cau.Cau5BG002693	0	1.6598706203664	0.561	0.269	0	0	/	/
Cau.Cau1BG000210	0	1.65623260588604	0.543	0.228	0	0	transcript:AT3G51030.1	AT3G51030
Cau.Cau5AG002652	0	1.65196146712839	0.4	0.173	0	0	/	/
Cau.Cau6AG002035	0	1.62481618818328	0.711	0.392	0	0	transcript:AT4G34670.1	AT3G04840;AT4G34670
Cau.Cau8AG001839	0	1.6227165940032	0.279	0.101	0	0	/	AT5G59480
Cau.Cau6AG000687	0	1.61744475699093	0.66	0.309	0	0	/	/
Cau.Cau9BG001776	0	1.61635669934719	0.283	0.08	0	0	transcript:AT4G15910.1	/
Cau.Cau2AG001682	0	1.59232379013996	0.289	0.096	0	0	/	/
Cau.Cau4BG001164	0	1.58849966742166	0.35	0.123	0	0	/	AT3G15353
Cau.Cau7AG001965	0	1.58848180690181	0.353	0.123	0	0	/	/
Cau.Cau4AG001157	0	1.57985608251519	0.388	0.158	0	0	transcript:AT3G15353.1	AT3G15353
Cau.Cau4BG000968	0	1.57440521581169	0.34	0.131	0	0	transcript:AT2G31610.1	AT2G31610;AT3G53870;AT5G35530
Cau.Cau9BG001220	0	1.57254416331463	0.773	0.484	0	0	transcript:AT3G04400.1	AT1G04480;AT2G33370;AT3G04400
Cau.Cau3AG000644	0	1.55934496341528	0.682	0.4	0	0	/	AT1G22780;AT1G34030;AT4G09800
Cau.Cau5AG000586	0	1.53291155437029	0.387	0.158	0	0	/	AT1G13440;AT3G04120
Cau.Cau4BG002251	0	1.52726966296831	0.563	0.31	0	0	transcript:AT4G28088.1	AT2G24040;AT4G28088;AT4G30650;AT4G30660
Cau.Cau4AG002230	0	1.51496503057803	0.53	0.291	0	0	/	AT2G24040;AT4G28088;AT4G30650;AT4G30660
Cau.Cau4BG001348	0	1.50859235252135	0.896	0.725	0	0	transcript:AT1G54290.1	AT1G54290;AT4G27130;AT5G54760
Cau.Cau5AG000789	0	1.50358092028658	0.343	0.135	0	0	/	/
Cau.Cau4BG001730	0	1.50040790201657	0.374	0.157	0	0	/	/
Cau.Cau1AG001318	0	1.49553293855401	0.393	0.178	0	0	transcript:AT3G15820.1	AT3G15820;AT3G15830
Cau.Cau9BG000580	0	1.49422875769089	0.617	0.368	0	0	transcript:AT2G42310.1	AT2G42310;AT3G57785
Cau.Cau3AG000968	0	1.49238784530771	0.33	0.124	0	0	/	AT1G78040;AT4G08685
