gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	transcript_id	Arabidopsis_Genes	KO_ID	Pathway_ID	Pathway_Description	SwissProt_Accession	SwissProt_Full	GO_ID	GO_Description	GO_Level	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	eggNOG_GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Cau.Cau7BG000745	0	2.83789230297044	0.872	0.254	0	0	/	AT1G26355				B3H4F1	sp|B3H4F1|SP1L1_ARATH	GO:0000226;GO:0000902;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005819;GO:0005856;GO:0005874;GO:0005876;GO:0005881;GO:0005938;GO:0006950;GO:0006970;GO:0006996;GO:0007010;GO:0007017;GO:0008150;GO:0009524;GO:0009574;GO:0009628;GO:0009651;GO:0009653;GO:0009826;GO:0009987;GO:0010005;GO:0015630;GO:0016043;GO:0016049;GO:0030863;GO:0030865;GO:0030981;GO:0031122;GO:0032502;GO:0032989;GO:0033554;GO:0040007;GO:0043226;GO:0043228;GO:0043229;GO:0043232;GO:0043622;GO:0044422;GO:0044424;GO:0044430;GO:0044444;GO:0044446;GO:0044448;GO:0044464;GO:0048589;GO:0048856;GO:0048869;GO:0050896;GO:0051211;GO:0051716;GO:0055028;GO:0060560;GO:0071214;GO:0071470;GO:0071472;GO:0071840;GO:0071944;GO:0097435;GO:0099080;GO:0099081;GO:0099512;GO:0099513;GO:0099568;GO:0104004	microtubule cytoskeleton organization;cell morphogenesis;cellular_component;intracellular anatomical structure;obsolete cell;cytoplasm;spindle;cytoskeleton;microtubule;spindle microtubule;cytoplasmic microtubule;cell cortex;response to stress;response to osmotic stress;organelle organization;cytoskeleton organization;microtubule-based process;biological_process;phragmoplast;preprophase band;response to abiotic stimulus;response to salt stress;anatomical structure morphogenesis;unidimensional cell growth;cellular process;cortical microtubule, transverse to long axis;microtubule cytoskeleton;cellular component organization;cell growth;cortical cytoskeleton;cortical cytoskeleton organization;cortical microtubule cytoskeleton;cytoplasmic microtubule organization;developmental process;cellular component morphogenesis;cellular response to stress;growth;organelle;non-membrane-bounded organelle;intracellular organelle;intracellular non-membrane-bounded organelle;cortical microtubule organization;obsolete organelle part;obsolete intracellular part;obsolete cytoskeletal part;obsolete cytoplasmic part;obsolete intracellular organelle part;obsolete cell cortex part;obsolete cell part;developmental growth;anatomical structure development;cellular developmental process;response to stimulus;anisotropic cell growth;cellular response to stimulus;cortical microtubule;developmental growth involved in morphogenesis;cellular response to abiotic stimulus;cellular response to osmotic stress;cellular response to salt stress;cellular component organization or biogenesis;cell periphery;supramolecular fiber organization;supramolecular complex;supramolecular polymer;supramolecular fiber;polymeric cytoskeletal fiber;cytoplasmic region;cellular response to environmental stimulus	biological_process;biological_process;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;cellular_component;biological_process;biological_process;cellular_component;biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;cellular_component;cellular_component;cellular_component;biological_process;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;biological_process;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;biological_process	2711.XP_006484225.1	1.25e-67	205.0	2CXF2@1|root,2S4KK@2759|Eukaryota,37W13@33090|Viridiplantae,3GK15@35493|Streptophyta	35493|Streptophyta	S	SPIRAL1-like	-	GO:0000226,GO:0000902,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005819,GO:0005856,GO:0005874,GO:0005876,GO:0005881,GO:0005938,GO:0006950,GO:0006970,GO:0006996,GO:0007010,GO:0007017,GO:0008150,GO:0009524,GO:0009574,GO:0009628,GO:0009651,GO:0009653,GO:0009826,GO:0009987,GO:0010005,GO:0015630,GO:0016043,GO:0016049,GO:0030863,GO:0030865,GO:0030981,GO:0031122,GO:0032502,GO:0032989,GO:0033554,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043622,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044464,GO:0048589,GO:0048856,GO:0048869,GO:0050896,GO:0051211,GO:0051716,GO:0055028,GO:0060560,GO:0071214,GO:0071470,GO:0071472,GO:0071840,GO:0071944,GO:0097435,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:0099568,GO:0104004	-	ko:K18635	-	-	-	-	ko00000,ko04812	-	-	-	-
Cau.Cau7AG000743	0	2.75947630858795	0.873	0.277	0	0	/	AT1G26355				B3H4F1	sp|B3H4F1|SP1L1_ARATH	GO:0000226;GO:0000902;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005819;GO:0005856;GO:0005874;GO:0005876;GO:0005881;GO:0005938;GO:0006950;GO:0006970;GO:0006996;GO:0007010;GO:0007017;GO:0008150;GO:0009524;GO:0009574;GO:0009628;GO:0009651;GO:0009653;GO:0009826;GO:0009987;GO:0010005;GO:0015630;GO:0016043;GO:0016049;GO:0030863;GO:0030865;GO:0030981;GO:0031122;GO:0032502;GO:0032989;GO:0033554;GO:0040007;GO:0043226;GO:0043228;GO:0043229;GO:0043232;GO:0043622;GO:0044422;GO:0044424;GO:0044430;GO:0044444;GO:0044446;GO:0044448;GO:0044464;GO:0048589;GO:0048856;GO:0048869;GO:0050896;GO:0051211;GO:0051716;GO:0055028;GO:0060560;GO:0071214;GO:0071470;GO:0071472;GO:0071840;GO:0071944;GO:0097435;GO:0099080;GO:0099081;GO:0099512;GO:0099513;GO:0099568;GO:0104004	microtubule cytoskeleton organization;cell morphogenesis;cellular_component;intracellular anatomical structure;obsolete cell;cytoplasm;spindle;cytoskeleton;microtubule;spindle microtubule;cytoplasmic microtubule;cell cortex;response to stress;response to osmotic stress;organelle organization;cytoskeleton organization;microtubule-based process;biological_process;phragmoplast;preprophase band;response to abiotic stimulus;response to salt stress;anatomical structure morphogenesis;unidimensional cell growth;cellular process;cortical microtubule, transverse to long axis;microtubule cytoskeleton;cellular component organization;cell growth;cortical cytoskeleton;cortical cytoskeleton organization;cortical microtubule cytoskeleton;cytoplasmic microtubule organization;developmental process;cellular component morphogenesis;cellular response to stress;growth;organelle;non-membrane-bounded organelle;intracellular organelle;intracellular non-membrane-bounded organelle;cortical microtubule organization;obsolete organelle part;obsolete intracellular part;obsolete cytoskeletal part;obsolete cytoplasmic part;obsolete intracellular organelle part;obsolete cell cortex part;obsolete cell part;developmental growth;anatomical structure development;cellular developmental process;response to stimulus;anisotropic cell growth;cellular response to stimulus;cortical microtubule;developmental growth involved in morphogenesis;cellular response to abiotic stimulus;cellular response to osmotic stress;cellular response to salt stress;cellular component organization or biogenesis;cell periphery;supramolecular fiber organization;supramolecular complex;supramolecular polymer;supramolecular fiber;polymeric cytoskeletal fiber;cytoplasmic region;cellular response to environmental stimulus	biological_process;biological_process;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;cellular_component;biological_process;biological_process;cellular_component;biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;cellular_component;cellular_component;cellular_component;biological_process;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;biological_process;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;biological_process	2711.XP_006484225.1	5.98e-66	201.0	2CXF2@1|root,2S4KK@2759|Eukaryota,37W13@33090|Viridiplantae,3GK15@35493|Streptophyta	35493|Streptophyta	S	SPIRAL1-like	-	GO:0000226,GO:0000902,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005819,GO:0005856,GO:0005874,GO:0005876,GO:0005881,GO:0005938,GO:0006950,GO:0006970,GO:0006996,GO:0007010,GO:0007017,GO:0008150,GO:0009524,GO:0009574,GO:0009628,GO:0009651,GO:0009653,GO:0009826,GO:0009987,GO:0010005,GO:0015630,GO:0016043,GO:0016049,GO:0030863,GO:0030865,GO:0030981,GO:0031122,GO:0032502,GO:0032989,GO:0033554,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043622,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044464,GO:0048589,GO:0048856,GO:0048869,GO:0050896,GO:0051211,GO:0051716,GO:0055028,GO:0060560,GO:0071214,GO:0071470,GO:0071472,GO:0071840,GO:0071944,GO:0097435,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:0099568,GO:0104004	-	ko:K18635	-	-	-	-	ko00000,ko04812	-	-	-	-
Cau.Cau9BG001776	0	2.73293322874524	0.899	0.39	0	0	transcript:AT4G15910.1	/				Q39644	sp|Q39644|LEA5_CITSI																							
Cau.Cau9BG001764	0	2.55839491673895	0.969	0.714	0	0	/	/				Q9ZSW9	sp|Q9ZSW9|TCTP_HEVBR				2711.XP_006489069.1	4.05e-114	327.0	KOG1727@1|root,KOG1727@2759|Eukaryota,37K7T@33090|Viridiplantae,3G8EY@35493|Streptophyta	35493|Streptophyta	DZ	Belongs to the TCTP family	-	-	-	-	-	-	-	-	-	-	-	-	TCTP
Cau.Cau9AG001697	0	2.45900634365598	0.881	0.393	0	0	/	/				Q39644	sp|Q39644|LEA5_CITSI																							
Cau.Cau7BG000382	0	2.31023858063359	0.598	0.134	0	0	/	/																												
Cau.Cau9AG001684	0	2.23526861671729	0.963	0.727	0	0	transcript:AT3G16640.1	AT3G16640				Q9ZSW9	sp|Q9ZSW9|TCTP_HEVBR				2711.XP_006489069.1	1.03e-116	334.0	KOG1727@1|root,KOG1727@2759|Eukaryota,37K7T@33090|Viridiplantae,3G8EY@35493|Streptophyta	35493|Streptophyta	DZ	Belongs to the TCTP family	-	-	-	-	-	-	-	-	-	-	-	-	TCTP
Cau.Cau2BG001977	0	2.23384833998141	0.875	0.394	0	0	/	/				Q9ZTW3	sp|Q9ZTW3|VA721_ARATH	GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0009507;GO:0009536;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0044424;GO:0044444;GO:0044464	cellular_component;intracellular anatomical structure;obsolete cell;cytoplasm;chloroplast;plastid;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;obsolete intracellular part;obsolete cytoplasmic part;obsolete cell part	cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component	2711.XP_006468428.1	9.41e-155	434.0	COG5143@1|root,KOG0859@2759|Eukaryota,37RXT@33090|Viridiplantae,3GCWX@35493|Streptophyta	35493|Streptophyta	U	Belongs to the synaptobrevin family	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	-	ko:K08511	-	-	-	-	ko00000,ko04131	-	-	-	Longin,Synaptobrevin
Cau.Cau2AG001994	0	2.23123200014599	0.779	0.277	0	0	/	/				Q9ZTW3	sp|Q9ZTW3|VA721_ARATH	GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0009507;GO:0009536;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0044424;GO:0044444;GO:0044464	cellular_component;intracellular anatomical structure;obsolete cell;cytoplasm;chloroplast;plastid;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;obsolete intracellular part;obsolete cytoplasmic part;obsolete cell part	cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component	2711.XP_006468428.1	9.41e-155	434.0	COG5143@1|root,KOG0859@2759|Eukaryota,37RXT@33090|Viridiplantae,3GCWX@35493|Streptophyta	35493|Streptophyta	U	Belongs to the synaptobrevin family	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	-	ko:K08511	-	-	-	-	ko00000,ko04131	-	-	-	Longin,Synaptobrevin
Cau.Cau6BG001706	0	2.22935546557634	0.653	0.226	0	0	transcript:AT3G01390.2	AT3G01390;AT4G23710	K02152;K02152;K02152;K02152;K02152;K02152;K02152;K02152;K02152;K02152	map00190;map01100;map04145;map04150;map04721;map04966;map05110;map05120;map05165;map05323	Oxidative phosphorylation;Metabolic pathways;Phagosome;mTOR signaling pathway;Synaptic vesicle cycle;Collecting duct acid secretion;Vibrio cholerae infection;Epithelial cell signaling in Helicobacter pylori infection;Human papillomavirus infection;Rheumatoid arthritis	Q9SP55	sp|Q9SP55|VATG_CITLI	GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005773;GO:0005774;GO:0005794;GO:0005829;GO:0005886;GO:0012505;GO:0016020;GO:0031090;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0044422;GO:0044424;GO:0044437;GO:0044444;GO:0044446;GO:0044464;GO:0071944;GO:0098588;GO:0098805	cellular_component;intracellular anatomical structure;obsolete cell;cytoplasm;vacuole;vacuolar membrane;Golgi apparatus;cytosol;plasma membrane;endomembrane system;membrane;organelle membrane;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;obsolete organelle part;obsolete intracellular part;obsolete vacuolar part;obsolete cytoplasmic part;obsolete intracellular organelle part;obsolete cell part;cell periphery;bounding membrane of organelle;membrane	cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component	85681.XP_006428791.1	6.59e-65	198.0	KOG1772@1|root,KOG1772@2759|Eukaryota,37V81@33090|Viridiplantae,3GJCD@35493|Streptophyta	35493|Streptophyta	C	Catalytic subunit of the peripheral V1 complex of vacuolar ATPase (V-ATPase). V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005794,GO:0005829,GO:0005886,GO:0012505,GO:0016020,GO:0031090,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0071944,GO:0098588,GO:0098805	-	ko:K02152	ko00190,ko01100,ko04145,ko04150,ko04721,ko04966,ko05110,ko05120,ko05323,map00190,map01100,map04145,map04150,map04721,map04966,map05110,map05120,map05323	M00160	-	-	ko00000,ko00001,ko00002	3.A.2.2	-	-	V-ATPase_G
